Stakeholder Requirement,System Requirement,Design Element,Verification Method,Test ID,Status,Notes
STK-FR-001,SYS-FR-001,LiDAR Sensor + Perception Module,System Test,ST-001,Passed,Velodyne VLP-16 selected
STK-FR-001,SYS-FR-002,Obstacle Classification Algorithm,System Test,ST-002,Passed,ML classifier trained on 10K samples
STK-FR-002,SYS-FR-010,A* Path Planner,System Test,ST-010,Passed,Computation time < 200ms verified
STK-FR-002,SYS-FR-014,Dynamic Replanning Module,System Test,ST-014,Passed,Handles moving obstacles
STK-FR-003,SYS-FR-020,Extended Kalman Filter,Performance Test,PT-020,Passed,100 Hz update rate achieved
STK-FR-003,SYS-FR-021,State Estimator,System Test,ST-021,Passed,Velocity accuracy ±0.1 m/s
STK-FR-003,SYS-FR-022,Visual-Inertial Odometry,System Test,ST-022,Passed,Position drift < 1m over 5 min
STK-FR-004,SYS-FR-012,Waypoint Manager,System Test,ST-012,Passed,Supports 10+ waypoints
STK-FR-005,SYS-SR-001,Geofence Module,System Test,ST-200,Passed,100% containment verified
STK-FR-006,SYS-SR-002,Emergency Landing Controller,Failure Test,FT-001,Passed,Safe landing in all failure scenarios
STK-FR-007,SYS-FR-041,Manual Override Handler,System Test,ST-041,Passed,Response time < 100ms
STK-FR-008,SYS-FR-040,Telemetry Transmitter,System Test,ST-040,Passed,1 Hz update rate achieved
STK-PR-001,SYS-PR-010,Multi-Sensor Fusion,System Test,ST-100,Passed,99.5% detection accuracy
STK-PR-002,SYS-PR-010,Detection Validation,System Test,ST-100,Passed,False positive rate < 0.5%
STK-PR-003,SYS-PR-012,State Estimation Accuracy,Performance Test,PT-102,Passed,RMSE < 0.3m
STK-PR-004,SYS-PR-021,Speed Controller,System Test,ST-121,Passed,25 m/s max speed verified
STK-PR-005,SYS-RMA-001,System Reliability,Reliability Analysis,RA-001,In Progress,MTBF testing ongoing
STK-OE-001,SYS-FR-003,Vision Pipeline,System Test,ST-001,Passed,30 FPS processing
STK-OE-002,SYS-FR-005,Adaptive Exposure,Environmental Test,ET-002,Passed,10-100000 lux range
STK-OE-003,SYS-PR-022,Wind Compensation,Environmental Test,ET-010,Passed,15 m/s wind tolerance
STK-OE-004,SYS-ENV-001,Thermal Management,Environmental Test,ET-100,Passed,-10°C to +50°C range
STK-USE-001,UI-FR-001,Mission Planner UI,Usability Test,UT-001,Passed,< 5 min planning time
STK-USE-002,UI-FR-002,Training Program,Inspection,DOC-001,Complete,8-hour course developed
STK-USE-003,SYS-FR-042,Ground Station GUI,Inspection,UI-001,Complete,SUS score 82/100
STK-CON-001,SYS-CERT-001,DO-178C Compliance,Certification Audit,CERT-001,In Progress,DER review scheduled Jan 2026
STK-CON-002,SYS-CERT-001,Software Verification,DO-178C Audit,CERT-001,In Progress,MC/DC coverage 87%
STK-CON-003,SYS-CERT-002,Safety Analysis,ISO 26262 Audit,CERT-002,In Progress,ASIL-B assessment ongoing
